6
S	4		
0	200	200	200
0	0	0	255
100	180	140	300
140	300	320	300
320	300	360	180
360	180	100	180
S	4		
0	200	200	200
0	0	0	230
320	300	360	180
360	180	400	140
360	260	400	140
320	300	360	260
S	4		
0	200	200	200
0	0	0	230
100	180	140	140
140	140	400	140
400	140	360	180
360	180	100	180
S	4		
0	120	120	120
0	0	0	255
160	170	160	120
160	120	300	120
300	120	300	170
300	170	160	170
S	4		
0	120	120	120
0	0	0	230
160	120	180	100
180	100	320	100
320	100	300	120
300	120	160	120
S	4		
0	120	120	120
0	0	0	230
300	170	300	120
300	120	320	100
320	100	320	150
320	150	300	170
